num_chars,num_words,num_unique_words,num_sentences,avg_sentence_length,avg_word_length,lexical_density,type_token_ratio,hapax_legomena,hapax_percentage,author,category,is_machado,file_name
32686,6836,1034,619,11.043618739903069,4.47640562248996,0.5760542168674698,0.2595381526104418,582,14.60843373493976,Machado de Assis,teatro,1,naoConsultesMedico.txt
7972,1791,503,156,11.48076923076923,4.155574762316335,0.5842696629213483,0.4347450302506482,351,30.337078651685395,Machado de Assis,teatro,1,bote.txt
35441,7582,1075,728,10.414835164835164,4.477971941914841,0.5801132168348511,0.26458282057592913,671,16.514890475018458,Machado de Assis,teatro,1,licaoBotanica.txt
50976,10899,1514,993,10.975830815709969,4.354853205512283,0.5701018573996405,0.22678250449370882,916,13.72079089275015,Machado de Assis,teatro,1,forcas.txt
47681,9650,1592,939,10.27689030883919,4.321401938851603,0.5627143922445936,0.23743475018642804,977,14.571215510812827,Machado de Assis,teatro,1,desencantos.txt
30294,6267,1216,574,10.918118466898955,4.485262401150251,0.5835130601485742,0.2913970764438054,791,18.95518811406662,Machado de Assis,teatro,1,quaseMinistros.txt
40692,8847,1273,712,12.42556179775281,4.3432386684220425,0.5640398721083317,0.2394207259732932,792,14.895617829603161,Machado de Assis,teatro,1,tuAmor.txt
24548,5295,1001,585,9.051282051282051,4.463400408282298,0.6135899679206765,0.29192184310294544,639,18.635170603674542,Machado de Assis,teatro,1,aventalLuva.txt
34763,7600,1571,729,10.425240054869684,4.235904463586531,0.5892717306186375,0.307556773688332,1047,20.497259201252938,Machado de Assis,teatro,1,deuses.txt
71300,14496,2231,1429,10.144156752974109,4.428802752757818,0.5624936747292784,0.2257868636777654,1370,13.864993421718449,Machado de Assis,teatro,1,caminhoProtocolo.txt
123243,23935,4323,1301,18.39738662567256,4.552852642632131,0.5376852175942131,0.252187609380469,2824,16.474157041185393,Machado de Assis,cr├┤nica,1,drSemana.txt
99888,19466,3756,721,26.99861303744799,4.424905342869163,0.5278362081054551,0.26335717290702565,2482,17.402888795400365,Machado de Assis,cr├┤nica,1,notasSemanais.txt
195100,39271,5482,1886,20.82237539766702,4.374155283968368,0.5297987059669302,0.19705248023005031,3308,11.890726096333573,Machado de Assis,cr├┤nica,1,balas.txt
3195,594,233,21,28.285714285714285,4.717889908256881,0.5298165137614679,0.5344036697247706,172,39.44954128440367,Machado de Assis,cr├┤nica,1,futuro.txt
13185,2589,771,148,17.493243243243242,4.415633423180593,0.537466307277628,0.415633423180593,545,29.380053908355798,Machado de Assis,cr├┤nica,1,historia30dias.txt
63409,12685,2692,744,17.0497311827957,4.387026079333771,0.5508437431514355,0.29498137190444884,1747,19.14310760464607,Machado de Assis,cr├┤nica,1,badaladas.txt
35070,7108,1719,349,20.36676217765043,4.35843137254902,0.5431372549019607,0.33705882352941174,1185,23.235294117647058,Machado de Assis,cr├┤nica,1,entre92-94.txt
4083,807,305,42,19.214285714285715,4.4266441821247895,0.5497470489038786,0.5143338954468802,229,38.61720067453626,Machado de Assis,cr├┤nica,1,henriqueChaves.txt
1701,338,150,11,30.727272727272727,4.287449392712551,0.5384615384615384,0.6072874493927125,124,50.20242914979757,Machado de Assis,cr├┤nica,1,vicondeCastilho.txt
21142,4198,1112,191,21.979057591623036,4.382228030055537,0.5220516171185887,0.3632799738647501,800,26.13524991832734,Machado de Assis,cr├┤nica,1,cartasFluminenses.txt
118926,23800,3981,1195,19.9163179916318,4.341113105924596,0.5303758614698558,0.2305553946835003,2466,14.281577575722476,Machado de Assis,cr├┤nica,1,historia15dias.txt
1007,193,108,8,24.125,4.468354430379747,0.5443037974683544,0.6835443037974683,86,54.43037974683544,Machado de Assis,cr├┤nica,1,henrique.txt
5144,994,323,54,18.40740740740741,4.607613469985359,0.5373352855051244,0.47291361639824303,238,34.84626647144949,Machado de Assis,cr├┤nica,1,reforma.txt
4629,895,336,34,26.323529411764707,4.453996983408748,0.5354449472096531,0.5067873303167421,243,36.65158371040724,Machado de Assis,cr├┤nica,1,joaquim.txt
422,88,45,5,17.6,4.095238095238095,0.4444444444444444,0.7142857142857143,34,53.96825396825397,Machado de Assis,cr├┤nica,1,joseAlencar.txt
132516,24938,4160,1002,24.88822355289421,4.492977528089888,0.5105877268798618,0.2247191011235955,2575,13.909896283491788,Machado de Assis,cr├┤nica,1,comentariosSemana.txt
25260,4916,1271,188,26.148936170212767,4.4995933857413934,0.528598536188669,0.3445378151260504,852,23.095689888858768,Machado de Assis,cr├┤nica,1,velhoSenado.txt
470041,89492,9514,3776,23.70021186440678,4.496231288612298,0.5271966527196653,0.1437094995695059,5300,8.005679500928961,Machado de Assis,cr├┤nica,1,aoAcaso.txt
16885,3178,739,171,18.584795321637426,4.501302083333333,0.5065104166666666,0.3207465277777778,490,21.26736111111111,Machado de Assis,cr├┤nica,1,jornalLivro.txt
3765,741,285,24,30.875,4.469500924214418,0.5360443622920518,0.5268022181146026,221,40.85027726432532,Machado de Assis,cr├┤nica,1,cherchez.txt
1588057,316131,19223,15025,21.04033277870216,4.393654080710406,0.5309925151145547,0.08433877662048209,9424,4.134675289348298,Machado de Assis,cr├┤nica,1,semana.txt
126495,25858,3935,1319,19.604245640636847,4.378177616375042,0.5342247166281501,0.2165181027841972,2387,13.134147683503908,Machado de Assis,cr├┤nica,1,bonsDias.txt
117511,22208,3750,781,28.435339308578744,4.4855396902226525,0.5136132623426912,0.22688770571151984,2289,13.84922555663117,Machado de Assis,cr├┤nica,1,cronicasFuturo.txt
